#{"t_start": 1650220239.9127216, "env_id": "BipedalWalker-v3"}
r,l,t
-18.345737,1600,15.877137
-15.118064,1600,31.131872
-15.446684,1600,46.187038
-23.730404,1600,61.377692
-111.076149,43,61.840098
-25.29761,1600,76.958146
-98.861813,159,78.475965
-21.133548,1600,94.354385
-96.225072,81,95.146532
-98.510921,90,96.035588
-114.621188,110,97.132573
-87.170775,221,99.539954
-93.660144,159,101.122159
-109.420433,101,102.153141
-113.811139,177,103.964681
-94.768795,244,106.355601
-46.899616,1600,123.104492
-40.186857,1600,138.996264
-19.623007,1600,154.710078
-97.532375,71,155.428468
-101.211064,324,158.602467
-99.582849,348,161.97898
-101.277235,296,164.845938
-103.500818,90,165.755212
-112.830822,437,169.971338
-105.052786,84,170.810349
-128.045079,333,174.130325
-99.3324,182,175.953487
-99.92251,161,177.558714
-97.530258,72,178.231452
-92.558574,148,179.72262
-110.19689,133,181.062498
-69.209774,1291,193.745464
-83.63645,444,198.085526
-88.769018,246,200.51876
-81.16266,257,203.098137
-81.999425,264,205.774308
-84.104246,309,208.812133
-89.4906,127,210.038114
-71.882346,512,215.189835
-92.45882,79,215.97564
-78.670242,659,222.490922
-109.458244,56,223.148109
-112.271422,77,224.015935
-104.984168,54,224.720206
-99.030172,63,225.409395
-79.36796,164,227.082228
-104.710116,53,227.639854
-93.580282,98,228.654605
-107.865467,50,229.193168
-121.149827,116,230.407879
-107.664033,47,230.873141
-94.547471,96,231.775257
-99.015089,586,237.403396
-75.397787,328,240.75135
-13.117794,1600,256.371621
-91.790336,90,257.202114
-95.969096,104,258.188874
-94.275538,75,258.893713
-26.307702,1600,274.135028
-29.434546,1600,288.769305
-27.222138,1600,303.731999
-17.529938,1600,350.289612
-22.556608,1600,361.842918
-16.889451,1600,373.391977
-17.422656,1600,384.858022
-22.021267,1600,395.720507
-23.799591,1600,406.43944
-17.091956,1600,417.098513
