#{"t_start": 1650161750.3526182, "env_id": "BipedalWalker-v3"}
r,l,t
-126.917315,1600,17.753282
-119.633844,72,18.539478
-101.509517,52,19.126035
-102.901541,83,20.069787
-103.486873,59,20.658719
-109.55197,44,21.178941
-112.440274,58,21.77423
-98.035781,1600,56.810634
-104.39106,1600,93.336199
-119.050173,72,94.111724
-101.332767,75,94.956922
-100.37568,78,95.719383
-104.521911,64,96.466347
-102.248864,63,97.166859
-105.91072,71,97.872617
-97.707649,87,98.812487
-100.901002,1600,134.205253
-111.385396,1600,169.339315
-98.302063,1600,204.715322
-93.982735,1600,222.007314
-126.099038,128,223.46578
-99.027744,1600,258.909541
-109.355644,49,259.420988
-122.67813,99,260.565759
-120.29356,76,261.451334
-115.889819,54,262.031265
-86.763514,1600,297.243177
-72.418589,1600,332.953287
-71.7846,1600,368.226761
-85.018706,1600,403.897402
-107.468139,57,404.581275
-108.466978,64,405.310463
-114.834842,122,406.630275
-81.190366,1600,424.402433
-82.289099,1600,459.529384
-81.199038,1600,496.018812
-106.410787,61,496.651642
-74.751486,1600,532.129518
-69.237311,1600,567.419939
-72.828819,1600,584.656494
-113.948109,56,585.300982
-72.840972,1600,620.503592
-52.455742,1600,724.590908
-56.548257,1600,737.534328
-46.561882,1600,750.346502
-51.687938,1600,763.124773
-46.20435,1600,776.083744
-51.642826,1600,789.185448
-46.35716,1600,802.279743
-66.258488,1600,907.344012
-66.97458,1600,922.847784
-67.252123,1600,936.869317
-62.338512,1600,951.253572
-62.906256,1600,964.384447
-66.317894,1600,977.971536
-63.802452,1600,991.095669
-117.832223,78,1508.655297
-62.659696,1600,1526.034186
-62.543783,1600,1659.130021
-114.92589,61,1659.941573
-58.38447,1600,1677.399446
-122.72065,85,1678.3041
-70.320657,1600,1696.118554
-107.92288,70,1696.97288
-70.089926,1600,1715.201468
-64.367558,1600,1732.798419
-58.764613,1600,1749.899121
-70.061542,1600,1767.708457
-119.350834,71,1768.475061
-106.439512,64,1769.130468
-64.007368,1600,1786.507099
-59.635741,1600,1805.936418
-75.588413,1600,1823.739064
-65.664213,1600,1841.111632
-70.368894,1600,1858.630225
-65.339535,1600,1875.843786
-72.341494,1600,1892.925888
-54.951516,1600,1910.428237
-54.757223,1600,1928.051231
-71.639005,1600,1945.697108
-106.052656,62,1946.383092
-108.476259,65,1947.096891
-107.376711,88,1948.051465
-68.290369,1600,1965.277828
-104.984188,94,1966.355889
-62.483781,1600,1984.165928
-113.568035,66,1984.892443
-51.169446,1600,2001.774641
-52.194987,1600,2177.48439
-47.848746,1600,2190.475827
-51.686924,1600,2203.360313
-47.841265,1600,2216.569489
-53.16239,1600,2229.476324
-52.178395,1600,2243.092712
-53.281355,1600,2256.945988
-53.258019,1600,2315.314641
-52.18615,1600,2330.132173
-52.085932,1600,2344.981588
-51.505316,1600,2359.074142
-52.205316,1600,2372.209506
-52.009802,1600,2385.364398
-52.190858,1600,2399.101817
