#{"t_start": 1650127719.715501, "env_id": "BipedalWalker-v3"}
r,l,t
-101.918351,55,0.220928
-112.679614,91,0.470358
-98.372713,1600,4.393282
-112.897807,137,4.726547
-142.511804,308,5.494594
-104.681149,78,5.676952
-104.608372,67,5.833917
-100.754733,91,6.081551
-117.830435,70,6.238087
-100.935697,69,6.410699
-100.991762,68,6.566648
-108.370444,46,6.67082
-114.530019,70,6.844101
-113.539189,71,7.035258
-108.057359,52,7.15505
-107.165521,76,7.348001
-101.562834,70,7.517536
-103.407397,78,7.690921
-102.621182,74,7.867797
-99.349071,217,8.420304
-106.225437,117,8.711349
-108.397201,68,8.872083
-115.745895,60,9.048898
-110.083388,66,9.208624
-108.0989,78,9.405719
-113.485293,545,10.749181
-127.356984,215,11.290967
-103.556081,69,11.469549
-122.893623,92,11.687958
-106.082468,66,11.862828
-110.617961,72,12.055834
-100.163497,67,12.244274
-99.989274,57,12.38012
-103.760828,57,12.53607
-121.02377,102,12.77986
-112.326427,51,12.906345
-102.5268,66,13.083496
-118.039952,153,13.467186
-99.590906,72,13.642159
-106.539814,36,13.734948
-105.550794,74,13.929308
-104.829437,73,14.114466
-96.300602,74,14.312079
-101.382049,54,14.44126
-104.964299,76,14.624392
-111.205763,66,14.782326
-102.043406,47,14.893097
-104.433115,180,15.355855
-105.191345,77,15.540796
-121.631087,120,15.812521
-104.362218,75,15.997836
-100.883734,133,16.322771
-115.094273,87,16.536905
-104.365063,264,17.170923
-105.86137,82,17.391752
-103.133131,171,17.803358
-98.973311,92,18.046001
-101.294199,62,18.238233
-107.587288,196,18.703982
-100.546481,87,18.925928
-109.589204,90,19.14296
-114.267991,325,19.954723
-104.039731,60,20.112524
-145.908435,735,22.024662
-97.408262,99,22.288787
-100.61165,96,22.533879
-96.060029,114,22.839753
-107.489434,58,22.976758
-113.635756,336,23.81933
-103.649162,107,24.097887
-110.182784,383,25.067022
-102.709868,71,25.251517
-121.585827,358,26.143848
-103.392755,65,26.304971
-101.918973,62,26.474372
-97.191814,73,26.656291
-97.129735,72,26.847068
-106.534157,95,27.084274
-98.51149,68,27.266502
-100.693906,53,27.412183
-101.365673,99,27.681077
-101.296875,57,27.826082
-106.046916,88,28.067755
-100.109329,69,28.264369
-108.275031,72,28.446437
-102.910092,54,28.607032
-106.604399,46,28.728925
-104.685448,46,28.856307
-103.243522,128,29.193923
-97.513942,72,29.387807
-98.418397,76,29.594731
-106.308084,45,29.707114
-106.046231,58,29.866508
-106.542957,82,30.076064
-100.241603,104,30.356842
-100.567185,54,30.487199
-101.580335,72,30.687134
-96.345857,100,30.964921
-98.468394,80,31.184063
-102.142675,60,31.335398
-98.562669,86,31.554937
-99.51036,52,31.703818
-104.018424,55,31.836669
-99.959822,62,32.009519
-96.266796,79,32.222029
-102.024748,70,32.390943
-101.71504,72,32.579153
-100.24787,73,32.789542
-102.56506,75,32.981376
-103.002905,75,33.19892
-101.182273,77,33.404791
-100.063009,74,33.596184
-138.093246,497,34.925124
-99.841793,74,35.12581
-103.527316,80,35.347833
-99.756247,64,35.518831
-99.304423,67,35.703431
-101.228669,66,35.884632
-106.320388,147,36.271374
-98.12059,70,36.443572
-98.714269,59,36.598988
-98.399447,91,36.843088
-100.735143,73,37.03389
-101.107049,61,37.206868
-102.379285,116,37.496728
-135.271963,573,38.985392
-105.058753,75,39.183959
-98.814987,81,39.39605
-97.929252,90,39.623695
-100.93572,56,39.765881
-100.43184,49,39.91169
-103.420279,43,40.038346
-101.9665,47,40.167988
-102.20472,42,40.282503
-100.850622,48,40.406177
-101.37679,64,40.595184
-99.839089,63,40.767694
-98.915849,65,40.947588
-105.389178,51,41.105892
-103.734053,48,41.225631
-101.282791,62,41.395248
-98.970931,78,41.588135
-106.49197,234,42.180848
-108.181776,197,42.674465
-98.987615,95,42.916643
-105.811654,56,43.089941
-107.864984,213,43.621214
-97.696665,92,43.867461
-98.760211,73,44.064324
-108.117218,79,44.269169
-128.182088,497,45.623274
-98.552901,84,45.853498
-100.173564,124,46.179374
-98.094037,109,46.47012
-107.058989,185,46.956725
-102.325789,93,47.210544
-100.268858,74,47.411913
-104.457541,56,47.549289
-101.174625,64,47.726098
-97.269937,68,47.918582
-100.447046,86,48.140878
-100.968093,90,48.376518
-104.632245,63,48.553437
-103.431034,56,48.704304
-98.193982,79,48.901642
-104.471823,110,49.189817
-101.583013,125,49.521007
-100.609125,189,49.999355
-105.482617,165,50.424458
-101.738108,242,51.040853
-130.569011,440,52.176029
-93.16393,213,52.725246
-100.78576,119,53.029099
-102.732025,96,53.300225
-98.584291,72,53.503139
-105.070667,130,53.830873
-68.454969,1600,57.937661
-108.741573,178,58.377917
-98.050395,245,59.029227
-103.206234,237,59.638182
-97.495262,147,59.993143
-100.359717,84,60.224742
-99.367095,84,60.44286
-100.915708,72,60.631294
-106.310379,231,61.271596
-112.986928,384,62.262094
-98.583707,101,62.537636
-108.350969,61,62.691117
-92.641123,138,63.051699
-90.110465,151,63.450273
-96.635897,62,63.622286
-98.757356,188,64.082163
-109.731018,361,64.99396
-100.076536,1600,68.981692
-142.157011,798,70.964623
-91.120046,299,71.680669
-89.118681,307,72.448097
-101.785999,75,72.628634
-107.392349,803,74.624643
-49.676435,1600,78.574123
-148.661515,762,80.49734
-98.383348,497,81.757721
-101.603686,262,82.425347
-97.615406,176,82.856098
-101.460585,61,83.021361
-118.114533,990,85.557233
-89.944668,1007,88.102689
-84.002699,745,89.957784
-89.493349,124,90.279892
-86.718115,148,90.626512
-111.560604,74,90.819584
-60.038021,973,93.206867
-94.049368,86,93.414465
-84.696013,1110,96.147939
-93.931544,88,96.37203
-71.113041,512,97.711387
-80.72463,240,98.332358
-104.324793,111,98.634326
-96.871706,70,98.815917
-109.245259,51,98.944184
-95.551589,76,99.135075
-94.61048,83,99.347392
-96.769384,71,99.56248
-97.919847,57,99.699481
-99.087224,67,99.897495
-93.933672,122,100.231124
-101.789239,74,100.440594
-91.329993,146,100.836913
-95.509721,80,101.063708
-96.154199,112,101.373919
-85.93192,261,102.067494
-98.056325,123,102.389971
-92.44546,151,102.796109
-88.827196,230,103.398291
-78.410578,378,104.38038
-79.677534,308,105.204077
-89.769532,175,105.658128
-26.138164,822,107.758877
-109.00695,228,108.356177
-61.342967,621,109.955967
-122.114651,165,110.433267
-21.209447,1600,114.447698
-66.716152,757,116.41243
-71.71984,305,117.210815
-90.850894,149,117.620295
-89.914761,138,118.003767
-92.570105,133,118.381617
-104.639931,53,118.50883
-120.924378,100,118.800094
-109.94983,55,118.946938
-109.808147,50,119.084081
-105.449599,121,119.391056
